City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
barahona,12,DO,1554424825,100,18.21,-71.1,25.82,6.56
dolores,0,AR,1554424826,88,-36.31,-57.68,15.17,9.66
margate,20,AU,1554424815,42,-43.03,147.26,18.89,4.6
bethel,1,US,1554422160,69,60.79,-161.76,0,9.8
general pico,0,AR,1554424828,39,-35.66,-63.75,17.52,5.96
svetlogorsk,90,RU,1554424200,94,53.14,59.15,0,3
muros,75,ES,1554424805,86,42.77,-9.06,7.78,1
liwale,8,TZ,1554424828,79,-9.8,37.92,22.67,1.86
darnetal,0,FR,1554424795,65,49.45,1.15,5.56,4.1
kultuk,80,RU,1554424433,37,51.73,103.71,0,2.68
itaituba,64,BR,1554424829,84,-4.26,-55.99,26.22,1.56
aasiaat,76,GL,1554424830,90,68.71,-52.87,-2.14,3.31
syracuse,1,US,1554424527,46,43.05,-76.15,1.11,1.66
ordzhonikidze,0,UA,1554424831,100,44.96,35.36,3.47,1.01
kuruman,64,ZA,1554424270,90,-27.46,23.43,13.33,1.06
liverpool,40,GB,1554424805,87,53.41,-2.98,6.67,6.7
sinnamary,100,GF,1554424692,91,5.38,-52.96,27.17,4.91
balotra,0,IN,1554424832,70,25.83,72.24,21.32,1.41
blois,0,FR,1554424809,76,47.59,1.33,6,3.6
petatlan,5,MX,1554421380,52,17.52,-101.27,31,2.6
ulaanbaatar,75,MN,1554422400,40,47.92,106.92,2,2
kletnya,12,RU,1554424833,69,53.39,33.22,-3.09,3.01
coahuayana,0,MX,1554424834,23,18.62,-100.35,30.02,1.31
ilulissat,40,GL,1554421800,49,69.22,-51.1,-4,10.3
vallenar,0,CL,1554424834,89,-28.58,-70.76,13.17,0.36
antsla,0,EE,1554424817,55,57.83,26.53,3.89,0.5
sibu,75,MY,1554422400,94,2.29,111.83,26,1
zboriv,76,UA,1554424835,52,49.66,25.14,5.57,5.61
kyshtovka,80,RU,1554424836,89,56.56,76.62,-0.39,5.21
takaka,36,NZ,1554424451,59,-40.86,172.81,17.78,1.79
novobirilyussy,8,RU,1554424836,65,56.95,90.69,-10.69,1.11
iqaluit,75,CA,1554424325,71,63.75,-68.52,-15,7.7
awjilah,80,LY,1554424837,38,29.14,21.3,17.67,4.41
shiliguri,36,IN,1554424731,93,26.7,88.43,13.57,0.66
mor,0,HU,1554424824,61,47.38,18.2,13,5.1
catuday,0,PH,1554424838,100,16.29,119.81,26.02,2.86
binzhou,0,CN,1554422125,39,37.38,117.96,15,1.34
inhambane,0,MZ,1554424839,100,-23.87,35.38,23.57,4.06
luangwa,44,MZ,1554424839,64,-15.62,30.4,21.82,2.41
sijunjung,24,ID,1554424665,92,-0.69,100.95,20.17,1.01
karratha,0,AU,1554424840,66,-20.74,116.85,25.92,1.61
wainwright,8,CA,1554424645,63,52.84,-110.86,4.67,4.06
stykkisholmur,92,IS,1554424670,100,65.08,-22.73,1.82,1.46
east london,68,ZA,1554424605,100,-33.02,27.91,21.12,11.21
moskovskiy,0,RU,1554424805,85,55.6,37.35,3.89,1
laguna de perlas,64,NI,1554424841,100,12.34,-83.67,24.97,6.01
sartana,0,UA,1554424841,60,47.17,37.7,-1.84,0.91
yebaishou,0,CN,1554424842,43,41.4,119.64,4.07,4.51
ambon,92,FR,1554424575,93,47.55,-2.56,10,8.2
kudahuvadhoo,0,MV,1554424842,100,2.67,72.89,28.27,2.11
celestun,36,MX,1554424689,88,20.87,-90.4,27.02,7.91
cape coast,64,GH,1554424842,86,5.11,-1.24,25.87,2.61
mount isa,0,AU,1554422400,45,-20.73,139.49,30,5.7
grand island,1,US,1554424829,62,40.92,-98.34,14,2.01
qarqin,24,AF,1554424843,89,37.41,66.03,16.42,1.86
oakdale,92,US,1554424806,92,44.96,-92.97,5,4.6
pangkalanbuun,76,ID,1554424844,98,-2.68,111.62,23.92,2.31
pirganj,0,BD,1554424845,76,25.85,88.36,20.92,5.76
zhezkazgan,0,KZ,1554424845,88,47.8,67.71,0.47,2.16
dobrovice,0,CZ,1554424812,61,50.37,14.96,12.78,2.1
vagur,92,FO,1554424846,95,61.47,-6.81,7.87,11.56
bandarbeyla,0,SO,1554424846,100,9.49,50.81,26.37,2.11
meulaboh,12,ID,1554424846,100,4.14,96.13,26.12,2.31
byron bay,68,AU,1554424822,53,-28.65,153.62,26.67,5.1
primorsk,0,RU,1554423583,77,60.37,28.62,3.33,2.24
ewa beach,1,US,1554424655,54,21.32,-158.01,29,4.6
christchurch,92,NZ,1554424688,87,-43.53,172.64,10.56,4.1
lena,75,US,1554424808,93,32.59,-89.61,15.56,4.6
marawi,32,PH,1554424212,77,8,124.29,26.11,1.79
valparaiso,90,US,1554424674,86,41.47,-87.06,7,7.2
eisiskes,0,LT,1554424499,44,54.17,25,4,3.6
kenai,1,US,1554424324,38,60.55,-151.26,5.56,7.2
erzin,40,TR,1554424687,82,36.95,36.2,13.33,3.1
port hardy,75,CA,1554422400,71,50.7,-127.42,12,5.7
port hedland,0,AU,1554422400,69,-20.31,118.58,26,3.6
obo,0,CF,1554424850,83,5.39,26.49,17.17,1.31
vardo,75,US,1554424843,35,39.62,-77.74,15,2.6
solnechnyy,48,RU,1554424851,75,50.72,136.64,-1.09,1.86
axim,48,GH,1554424851,100,4.87,-2.24,27.72,6.61
tsiroanomandidy,48,MG,1554424851,95,-18.77,46.05,16.62,1.26
medicine hat,75,CA,1554424559,26,50.04,-110.68,16,1.5
nyandoma,0,RU,1554424852,70,61.67,40.21,-5.34,4.41
ostersund,92,SE,1554424316,92,63.18,14.64,1.11,2.6
fukue,0,JP,1554424659,62,35.03,136.69,13.33,2.6
turtas,0,RU,1554424853,75,58.94,69.13,-6.79,1.11
santa maria,90,BR,1554418800,100,-29.69,-53.81,24,2.1
linhares,8,BR,1554424627,83,-19.38,-40.06,24.67,3.31
sulgen,68,CH,1554424817,93,47.55,9.18,2.22,0.5
ukiah,90,US,1554424649,58,39.15,-123.21,15,3.6
fort-shevchenko,92,KZ,1554424855,80,44.51,50.26,9.42,6.26
kathu,88,ZA,1554424270,90,-27.7,23.05,13.33,2.56
sola,0,NO,1554424803,70,58.89,5.65,10,1.5
warrenton,12,ZA,1554424588,95,-28.11,24.85,14.82,5.21
aba,12,NG,1554424856,91,5.11,7.36,23.77,3.31
nakapiripirit,0,UG,1554424856,75,1.81,34.71,19.42,2.21
mahon,0,IE,1554422400,80,51.89,-8.4,2,2.1
lodja,92,CD,1554424857,99,-3.52,23.6,20.82,1.51
ixtapa,40,MX,1554424822,83,20.71,-105.21,25,4.1
escanaba,1,US,1554424688,55,45.75,-87.06,1.67,2.1
evensk,20,RU,1554424858,81,61.92,159.24,1.27,7.56
salinopolis,68,BR,1554424858,98,-0.61,-47.36,26.57,3.91
amga,36,RU,1554424858,65,60.89,131.98,-3.19,1.61
beruwala,0,LK,1554424859,97,6.48,79.98,28.67,1.76
novyy urengoy,68,RU,1554424859,86,66.08,76.63,-2.59,6.16
panjakent,75,UZ,1554422400,93,39.5,67.61,14,5.1
mareeba,40,AU,1554424698,70,-16.99,145.42,29,9.3
homa bay,0,KE,1554422400,88,-0.53,34.45,22,1.61
ciro marina,100,IT,1554424861,100,39.37,17.13,13.52,16.26
otane,92,NZ,1554423977,77,-39.89,176.62,15,1.66
nizhniy baskunchak,92,RU,1554424861,83,48.22,46.83,1.62,1.36
clyde,80,NZ,1554424360,59,-45.19,169.32,8.89,0.45
pimenteiras,92,BR,1554424862,95,-6.24,-41.42,21.62,1.26
carballo,0,ES,1554424854,87,43.21,-8.69,8.89,4.1
mitsamiouli,24,KM,1554424863,100,-11.38,43.28,27.82,3.11
kirakira,64,SB,1554424863,100,-10.46,161.92,28.42,1.76
jabinyanah,100,TN,1554424863,90,35.03,10.91,14.17,5.26
broken hill,0,AU,1554424864,47,-31.97,141.45,24.82,6.61
mataram,88,ID,1554424864,92,-5.32,105.06,23.92,1.21
killarney,0,AU,1554424204,66,-28.34,152.3,17.78,4.02
port moresby,40,PG,1554422400,74,-9.47,147.16,29,5.1
santona,75,ES,1554424856,58,43.44,-3.46,12,8.2
morant bay,75,JM,1554422400,74,17.88,-76.41,26,3.6
shetpe,48,KZ,1554424866,80,44.14,52.16,4.67,2.56
